timestamp,location,longitude,latitude,elevation,longitude(index),latitude(index),HDFfile,lev20file,cval_eMAS,nval_eMAS,meanval_eMAS_550,nval_aeronet,meanval_aeronet_550_intrp,meanval_aeronet_550_intrp_r2,meanval_aeronet_1640,meanval_aeronet_1020,meanval_aeronet_870,meanval_aeronet_675,meanval_aeronet_667,meanval_aeronet_555,meanval_aeronet_551,meanval_aeronet_532,meanval_aeronet_531,meanval_aeronet_500,meanval_aeronet_490,meanval_aeronet_443,meanval_aeronet_440,meanval_aeronet_412,meanval_aeronet_380,meanval_aeronet_340
8/1/13 21:52,Fresno_2,-119.773,36.785,100,119,38,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_01Aug/eMASL2AER_13948_01_20130801_2152_2210_20160627_1507.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/920801_160611_Fresno_2.lev20,--,83,0.320698795,4,0.064351463,0.943821217,nan,0.00908925,0.03511875,0.04461525,nan,nan,nan,nan,nan,0.0670125,nan,nan,0.0610815,nan,0.079118,0.066196
8/2/13 18:52,Santa_Monica_Colg,-118.471,34.017,55,402,10,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_02Aug/eMASL2AER_13949_04_20130802_1852_1905_20160627_1509.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/920801_160611_Santa_Monica_Colg.lev20,--,44,0.471431818,1,0.220281814,0.998454591,0.065379,0.095939,0.126647,0.169501,nan,nan,nan,nan,nan,0.241572,nan,nan,0.273199,nan,0.311098,0.313175
8/2/13 19:23,Fresno_2,-119.773,36.785,100,218,34,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_02Aug/eMASL2AER_13949_06_20130802_1923_1935_20160627_1510.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/920801_160611_Fresno_2.lev20,--,20,0.41765,5,0.040055829,0.877172103,nan,-0.004132,0.0236914,0.0308836,nan,nan,nan,nan,nan,0.0476804,nan,nan,0.0395762,nan,0.0494556,0.0366358
8/14/13 18:44,Mingo,-90.143,36.972,111,324,38,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_14Aug/eMASL2AER_13953_09_20130814_1844_1856_20160627_1518.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/920801_160611_Mingo.lev20,0.098,516,0.10669186,4,0.078840245,0.979578342,0.0252185,0.01736025,0.033597,0.05073175,nan,nan,nan,nan,nan,0.09813,nan,nan,0.10640075,nan,0.13579825,0.14910675
8/14/13 19:04,Mingo,-90.143,36.972,111,159,33,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_14Aug/eMASL2AER_13953_10_20130814_1904_1917_20160627_1519.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/920801_160611_Mingo.lev20,0.052,502,0.103272908,4,0.078643714,0.979854596,0.02514175,0.01749025,0.03363725,0.05072025,nan,nan,nan,nan,nan,0.097842,nan,nan,0.105792,nan,0.1348455,0.14774425
8/19/13 22:05,DRAGON_Deer_Park,-95.128,29.67,10,569,43,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_19Aug/eMASL2AER_13955_21_20130819_2205_2225_20160627_1538.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/130501_131101_DRAGON_Deer_Park.lev20,--,70,0.768385714,1,0.175215571,0.99975497,0.064412,0.081039,0.094144,0.132601,nan,nan,nan,nan,nan,0.201338,nan,nan,0.236652,nan,0.278361,0.32136
8/21/13 21:03,DRAGON_Galveston,-94.861,29.254,1,974,41,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_21Aug/eMASL2AER_13956_24_20130821_2103_2130_20160627_1545.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/130501_131101_DRAGON_Galveston.lev20,2.733,61,0.509606557,19,0.100448624,0.983199529,0.056512105,0.057806579,0.074798895,0.079753684,nan,nan,nan,nan,nan,0.115748895,nan,nan,0.120367263,nan,0.143206368,0.165527684
8/27/13 21:12,Upper_Buffalo,-93.203,35.826,722,633,35,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_27Aug/eMASL2AER_13958_19_20130827_2112_2133_20160627_1558.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/920801_160611_Upper_Buffalo.lev20,0.237,642,0.217098131,1,0.128155967,0.996186797,nan,0.036731,0.054703,0.080134,nan,nan,nan,nan,nan,0.160851,nan,nan,0.187444,nan,0.225495,0.266856
8/27/13 22:27,DRAGON_Channel_View,-95.126,29.802,10,141,35,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_27Aug/eMASL2AER_13958_23_20130827_2227_2241_20160627_1600.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/130501_131101_DRAGON_Channel_View.lev20,--,300,0.1799,2,0.156629537,0.996613691,0.0871625,0.101667,0.117792,0.1291905,nan,nan,nan,nan,nan,0.1725705,nan,nan,0.1906455,nan,0.221207,0.247821
8/27/13 22:27,DRAGON_Deer_Park,-95.128,29.67,10,182,42,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/eMAS_Data/Aug/Emas_27Aug/eMASL2AER_13958_23_20130827_2227_2241_20160627_1600.hdf,/Users/rsspenc3/Desktop/SEAC4RS/eMAS_vs_Aeronet/Aeronet_Data/130501_131101_DRAGON_Deer_Park.lev20,--,225,0.22612,14,0.196494042,0.999561513,0.107983214,0.133247857,0.143260143,0.168541929,nan,nan,nan,nan,nan,0.2135795,nan,nan,0.235885643,nan,0.264139571,0.297368929
